H,W,l_mean,l_std,l_p01,l_p05,l_p10,l_p50,l_p90,l_p95,l_p99,dark_frac_005,dark_frac_010,clip_frac_098,r_mean,g_mean,b_mean,r_std,g_std,b_std,rg,bg,sharp_lap_var,file
4032,3024,0.5503629446029663,0.2688688039779663,0.08864706009626389,0.14933334290981293,0.19628627598285675,0.541266679763794,0.9374392628669739,0.9731215834617615,0.995396077632904,0.002055070677962543,0.015401014765474091,0.04017939158688166,0.5754466652870178,0.5389781594276428,0.5088657736778259,0.2562580108642578,0.2684701085090637,0.2866401672363281,1.0676621817773102,0.9441307048276336,0.07158884406089783,0001.jpg
4032,3024,0.6122955083847046,0.22288620471954346,0.07949411869049072,0.17514902353286743,0.3011019825935364,0.6006156802177429,0.8942784070968628,0.9285098314285278,0.9708588719367981,0.0015651901192575797,0.020144072289409592,0.005004688024901318,0.5902032852172852,0.5846681594848633,0.5730204582214355,0.21090199053287506,0.2234315574169159,0.2535164952278137,1.009467107410452,0.9800781329501111,0.04949529469013214,0002.jpg
4032,3024,0.41401875019073486,0.26353636384010315,0.02777254953980446,0.06694509834051132,0.09684314578771591,0.3674353063106537,0.8114196062088013,0.858631432056427,0.9640039205551147,0.027555678907365416,0.10779726145859578,0.007083051198874611,0.44684484601020813,0.40908282995224,0.3791492283344269,0.25316935777664185,0.26163384318351746,0.2775934934616089,1.0923087477262956,0.9268277076087124,0.055675141513347626,0003.jpg
4032,3024,0.43110916018486023,0.27246883511543274,0.05015294626355171,0.07862745225429535,0.0977058857679367,0.4354470670223236,0.7648588418960571,0.8086863160133362,0.9759058356285095,0.009720270245443856,0.10803904412845385,0.00843770667989418,0.43849948048591614,0.42192187905311584,0.4021860659122467,0.2668358385562897,0.2694310247898102,0.2833588123321533,1.0392905961155838,0.9532241219410512,0.04312276467680931,0004.jpg
4032,3024,0.5941557288169861,0.25087371468544006,0.07389412075281143,0.13642746210098267,0.21603137254714966,0.5973294377326965,0.9368274211883545,0.9613255262374878,0.98112553358078,0.002672403838078441,0.025576882952254975,0.012269978400310742,0.6448831558227539,0.5800518989562988,0.4984293282032013,0.25533390045166016,0.247512549161911,0.23294241726398468,1.111767835283829,0.8592842637284241,0.025807103142142296,0005.jpg
4032,3024,0.4683641195297241,0.2426748424768448,0.006949020083993673,0.05040784552693367,0.09347451478242874,0.49863532185554504,0.7735176086425781,0.8793803453445435,0.9342275261878967,0.04900511516334929,0.10681126713802805,0.0009573707955404384,0.49894559383392334,0.4546329975128174,0.4234246015548706,0.25519490242004395,0.23149602115154266,0.235331192612648,1.097468725532029,0.9313549005822713,0.014615073800086975,0006.jpg
4032,3024,0.47734981775283813,0.2931234836578369,0.008078431710600853,0.036490198224782944,0.07456471025943756,0.5128862857818604,0.859494149684906,0.8890666365623474,0.9367098212242126,0.06609237541467204,0.13544455204921474,0.0017935221928277484,0.5129616856575012,0.4541437327861786,0.40460529923439026,0.30396342277526855,0.28778839111328125,0.27901750802993774,1.129513674000961,0.8909192819481359,0.04047811031341553,0007.jpg
4032,3024,0.5415617823600769,0.2504771053791046,0.04403921589255333,0.09082353115081787,0.13387450575828552,0.6107019782066345,0.8075294494628906,0.8343921899795532,0.9140039086341858,0.01278610402494331,0.060786689289913494,0.0015137661932056773,0.5734906792640686,0.5346804261207581,0.46117928624153137,0.2508299648761749,0.24594423174858093,0.27298662066459656,1.0725857515285098,0.8625328349022798,0.03330050781369209,0008.jpg
4032,3024,0.538314700126648,0.18688470125198364,0.09742353856563568,0.1681215763092041,0.26303529739379883,0.5675333738327026,0.7398157119750977,0.8206706047058105,0.9645882844924927,0.00037678072772318803,0.01236462466931217,0.009034453866423112,0.586750864982605,0.5273988842964172,0.4702487587928772,0.19559146463871002,0.18331000208854675,0.18051683902740479,1.112536961902005,0.8916379635164657,0.009101487696170807,0009.jpg
4032,3024,0.5278696417808533,0.2799188494682312,0.07344706356525421,0.11796863377094269,0.16707845032215118,0.5261490941047668,0.8780118227005005,0.9284784197807312,0.9521999955177307,0.002896307056773327,0.02907174154383976,0.0008855249275636181,0.5618363618850708,0.5099632740020752,0.46612119674682617,0.29296883940696716,0.27552419900894165,0.27579206228256226,1.1017190625451236,0.9140291202927077,0.013855332508683205,0010.jpg
4032,3024,0.46456289291381836,0.2673112452030182,0.07901176065206528,0.10556863248348236,0.133980393409729,0.4233882427215576,0.8659921884536743,0.9290039539337158,0.9867921471595764,0.0007427353657512388,0.0392139832399009,0.020456470589779122,0.47588083148002625,0.46268460154533386,0.3706723153591156,0.2747665047645569,0.2616920471191406,0.2622799575328827,1.0285209435751146,0.8011343212779815,0.02177954651415348,0011.jpg
4032,3024,0.4749855101108551,0.3087288737297058,0.06560392677783966,0.08913333714008331,0.1053764745593071,0.4655059278011322,0.8886470794677734,0.898835301399231,0.9365490078926086,0.0019007988998068362,0.08195891203703703,0.0008216345951961031,0.5011178851127625,0.45338645577430725,0.4054821729660034,0.3178141415119171,0.3005799949169159,0.29524317383766174,1.105277348833876,0.8943414022637842,0.01320642326027155,0012.jpg
4032,3024,0.5566389560699463,0.2641769349575043,0.09501177072525024,0.13271765410900116,0.18369804322719574,0.5568000078201294,0.9049568772315979,0.9567882418632507,0.9847019910812378,0.0001224496357184849,0.013798015348114555,0.015448583947467877,0.5769825577735901,0.5438216924667358,0.5196629166603088,0.26708248257637024,0.25837981700897217,0.25671279430389404,1.0609773475182493,0.9555760064059763,0.007071453146636486,0013.jpg
4032,3024,0.6070322394371033,0.24878603219985962,0.0871686264872551,0.14992156624794006,0.227647066116333,0.6166157722473145,0.9146196246147156,0.9303058385848999,0.9566274285316467,0.0013864776234567902,0.017137043860754177,0.0006659685479129924,0.6298823952674866,0.5883259773254395,0.552417516708374,0.23990948498249054,0.24387796223163605,0.26418769359588623,1.0706349012431224,0.938965129934536,0.027519825845956802,0014.jpg
4032,3024,0.5461453199386597,0.2783218324184418,0.0751098096370697,0.10999999940395355,0.15283921360969543,0.5536627769470215,0.8973843455314636,0.9418862462043762,0.9684862494468689,0.0022163958175862937,0.03668379485281767,0.00043287955614344504,0.5918601751327515,0.5159549713134766,0.47808361053466797,0.2870662212371826,0.2747456133365631,0.2720692753791809,1.1471156611019384,0.9265996269363858,0.018347641453146935,0015.jpg
