file,H,W,low_l_p50,nor_l_p50,exposure_ratio_med,mae_rgb
0001.jpg,4032,3024,0.008737255819141865,0.541266679763794,61.942301869682375,0.4165974259376526
0002.jpg,4032,3024,0.042007844895124435,0.6006156802177429,14.297386222286983,0.4297941327095032
0003.jpg,4032,3024,0.016901960596442223,0.3674353063106537,21.737985142555,0.26949214935302734
0004.jpg,4032,3024,0.10874117910861969,0.4354470670223236,4.004408138514182,0.21037393808364868
0005.jpg,4032,3024,0.13259217143058777,0.5973294377326965,4.504986427942843,0.33878880739212036
0006.jpg,4032,3024,0.3101607859134674,0.49863532185554504,1.6076652395684248,0.16611237823963165
0007.jpg,4032,3024,0.2631019651889801,0.5128862857818604,1.9493785842111915,0.21655002236366272
0008.jpg,4032,3024,0.12875686585903168,0.6107019782066345,4.743034331395739,0.3516072630882263
0009.jpg,4032,3024,0.22686275839805603,0.5675333738327026,2.5016528767759576,0.3087482154369354
0010.jpg,4032,3024,0.11389803886413574,0.5261490941047668,4.619442792071179,0.23670318722724915
0011.jpg,4032,3024,0.01265882421284914,0.4233882427215576,33.44353251697105,0.35436585545539856
0012.jpg,4032,3024,0.1557764858007431,0.4655059278011322,2.988281171751403,0.20146314799785614
0013.jpg,4032,3024,0.1221686378121376,0.5568000078201294,4.557605455754334,0.2908146381378174
0014.jpg,4032,3024,0.09539999812841415,0.6166157722473145,6.463420554754782,0.4058745503425598
0015.jpg,4032,3024,0.1573372632265091,0.5536627769470215,3.518939167073109,0.27376845479011536
0016.jpg,4032,3024,0.019929414615035057,0.6122745871543884,30.720664822120735,0.43109771609306335
0017.jpg,4032,3024,0.014556863345205784,0.43510979413986206,29.888369180437,0.3429565727710724
0018.jpg,4032,3024,0.22246667742729187,0.5803922414779663,2.608887943587462,0.32576507329940796
0019.jpg,4032,3024,0.15321962535381317,0.6629412174224854,4.326716562418643,0.37539783120155334
0020.jpg,4032,3024,0.0907960757613182,0.5803922414779663,6.3922019141196635,0.4328680634498596
0021.jpg,4032,3024,0.03024313785135746,0.5562000274658203,18.390374696723455,0.4640168249607086
0022.jpg,4032,3024,0.015450980514287949,0.3375764787197113,21.846874477194962,0.3262079954147339
0023.jpg,4032,3024,0.028666667640209198,0.37534117698669434,13.092874582522379,0.3264296352863312
0024.jpg,4032,3024,0.007564706262201071,0.5025568604469299,66.42576952237135,0.4774087369441986
0025.jpg,4032,3024,0.14541961252689362,0.67413729429245,4.635782249698454,0.464720219373703
0026.jpg,4032,3024,0.057694122195243835,0.6155451536178589,10.668946181183445,0.47853755950927734
0027.jpg,4032,3024,0.1017686277627945,0.6276470422744751,6.167341436458846,0.37175074219703674
0028.jpg,4032,3024,0.01265882421284914,0.5573804378509521,44.02758114802539,0.4222690165042877
0029.jpg,4032,3024,0.015450980514287949,0.5480941534042358,35.47086749801619,0.4790806472301483
0030.jpg,4032,3024,0.010635294951498508,0.5373451113700867,50.520046108196915,0.4816191494464874
0031.jpg,4032,3024,0.01185098011046648,0.5998274683952332,50.60997932873047,0.45160233974456787
0032.jpg,4032,3024,0.000894117692951113,0.5029764771461487,561.9121162580113,0.4652092754840851
0033.jpg,4032,3024,0.0311372559517622,0.4992784261703491,16.034277158740277,0.37330055236816406
0034.jpg,4032,3024,0.02442353032529354,0.5930196642875671,24.279716186535925,0.36652520298957825
0035.jpg,4032,3024,0.08282745629549026,0.477117657661438,5.760322949389743,0.34893423318862915
0036.jpg,4032,3024,0.01265882421284914,0.2628980576992035,20.766406648235527,0.28099575638771057
0037.jpg,4032,3024,0.010635294951498508,0.4929686486721039,46.34787310055286,0.4103122651576996
0038.jpg,4032,3024,0.10849020630121231,0.45842355489730835,4.2254535692464295,0.3372214436531067
0039.jpg,4032,3024,0.07393725216388702,0.5806823968887329,7.853626233977312,0.3681357800960541
0040.jpg,4032,3024,0.01265882421284914,0.514435350894928,40.63534708268688,0.3660837709903717
0041.jpg,4032,3024,0.01658039353787899,0.5692862868309021,34.33289762590862,0.4866916239261627
0042.jpg,4032,3024,0.02240000106394291,0.3874196410179138,17.294791420795637,0.2791205048561096
0043.jpg,4032,3024,0.15750589966773987,0.6276039481163025,3.9846187655285736,0.32719942927360535
0044.jpg,4032,3024,0.01265882421284914,0.4954235553741455,39.13360462551386,0.47169551253318787
0045.jpg,4032,3024,0.01265882421284914,0.7959333658218384,62.870886075495555,0.5969752073287964
0046.jpg,4032,3024,0.05579607933759689,0.5812784433364868,10.41773960639571,0.4324246644973755
0047.jpg,4032,3024,0.07123137265443802,0.6506823897361755,9.134658379172153,0.4578586518764496
0048.jpg,4032,3024,0.020823530852794647,0.5679647326469421,27.27387890088872,0.5099676847457886
0049.jpg,4032,3024,0.015172549523413181,0.3725568652153015,24.55311228532487,0.34467801451683044
0050.jpg,4032,3024,0.015450980514287949,0.3724745213985443,24.105357954220054,0.34053704142570496
0051.jpg,4032,3024,0.011529413051903248,0.39282354712486267,34.068558112930894,0.3425086438655853
0052.jpg,4032,3024,0.0076078432612121105,0.3135843276977539,41.213272100942035,0.32487621903419495
0053.jpg,4032,3024,0.0,0.31831374764442444,318314.74764442444,0.3554823398590088
0054.jpg,4032,3024,0.008737255819141865,0.29462355375289917,33.7166317684932,0.32985058426856995
0055.jpg,4032,3024,0.008737255819141865,0.6476392149925232,74.1155018114501,0.5356512069702148
0056.jpg,4032,3024,0.01265882421284914,0.7264196276664734,57.37999323317538,0.5866186022758484
0057.jpg,4032,3024,0.02240000106394291,0.5346705913543701,23.868200792820282,0.44056013226509094
0058.jpg,4032,3024,0.24943137168884277,0.7105686664581299,2.84874678313422,0.40022748708724976
0059.jpg,4032,3024,0.01265882421284914,0.6339804530143738,50.07821928292746,0.5476900339126587
0060.jpg,4032,3024,0.008737255819141865,0.5805882811546326,66.44223895148552,0.5230395793914795
0061.jpg,4032,3024,0.2629411816596985,0.7535764575004578,2.865943580234467,0.4044041931629181
0062.jpg,4032,3024,0.02240000106394291,0.6320392489433289,28.214821611730255,0.5490270853042603
0063.jpg,4032,3024,0.0,0.4854353070259094,485436.3070259094,0.44870418310165405
0064.jpg,4032,3024,0.014556863345205784,0.5612509846687317,38.55318403257055,0.4693619906902313
0065.jpg,4032,3024,0.007843137718737125,0.41989806294441223,53.530302246148516,0.38234755396842957
0066.jpg,4032,3024,0.034164708107709885,0.6365098357200623,18.630108110548022,0.4962839186191559
0067.jpg,4032,3024,0.01265882421284914,0.4931921660900116,38.95734710039996,0.42780596017837524
0068.jpg,4032,3024,0.06726667284965515,0.6342941522598267,9.429420186387173,0.45581570267677307
0069.jpg,4032,3024,0.0067137256264686584,0.6164628267288208,91.8077462910462,0.47736987471580505
0070.jpg,4032,3024,0.1533176600933075,0.7498823404312134,4.891011570117071,0.42918556928634644
0071.jpg,4032,3024,0.03258823603391647,0.5840902328491211,17.922826795977727,0.4364958107471466
0072.jpg,4032,3024,0.09836078435182571,0.6977176666259766,7.093391719393163,0.4971398413181305
0073.jpg,4032,3024,0.014792158268392086,0.6984941363334656,47.2174449607499,0.594916820526123
0074.jpg,4032,3024,0.015450980514287949,0.6402706503868103,41.43621911733398,0.5245320796966553
0075.jpg,4032,3024,0.01265882421284914,0.690984308719635,54.580956030836255,0.5990340709686279
0076.jpg,4032,3024,0.018478430807590485,0.5807254910469055,31.425561592966936,0.45353037118911743
0077.jpg,4032,3024,0.020501961931586266,0.7071333527565002,34.48937549199219,0.6114910840988159
0078.jpg,4032,3024,0.008737255819141865,0.5812236070632935,66.51494521253011,0.5037501454353333
0079.jpg,4032,3024,0.01658039353787899,0.5571529865264893,33.60115573240038,0.3858650028705597
0080.jpg,4032,3024,0.03024313785135746,0.6351098418235779,20.999469217637888,0.5215954184532166
0081.jpg,4032,3024,0.06609412282705307,0.571066677570343,8.640087999603537,0.4088328778743744
0082.jpg,4032,3024,0.191972553730011,0.7217294573783875,3.759530640316319,0.42401057481765747
0083.jpg,4032,3024,0.007564706262201071,0.7435490489006042,98.27900041737614,0.6458410620689392
0084.jpg,4032,3024,0.031650982797145844,0.6239294409751892,19.712207130083836,0.48348087072372437
0085.jpg,4032,3024,0.034164708107709885,0.6769882440567017,19.81487525218104,0.5230161547660828
0086.jpg,4032,3024,0.01265882421284914,0.5614941716194153,44.3525251361329,0.476779580116272
0087.jpg,4032,3024,0.003921568859368563,0.4974941313266754,126.8289096158174,0.39883407950401306
0088.jpg,4032,3024,0.008737255819141865,0.3732157051563263,42.710663647402555,0.34603816270828247
0089.jpg,4032,3024,0.08122353255748749,0.6786783933639526,8.355596172666312,0.4691219627857208
0090.jpg,4032,3024,0.057694122195243835,0.5494078993797302,9.522623030773673,0.3862448036670685
0091.jpg,4032,3024,0.04313725605607033,0.5281294584274292,12.24274012702263,0.36298078298568726
0092.jpg,4032,3024,0.10294117778539658,0.5372549295425415,5.219006835687489,0.3030271530151367
0093.jpg,4032,3024,0.042901962995529175,0.5962314009666443,13.897231317771139,0.4142942428588867
0094.jpg,4032,3024,0.2577686309814453,0.5838941335678101,2.265182020646334,0.30404388904571533
0095.jpg,4032,3024,0.05372157320380211,0.3969411849975586,7.38874110686615,0.26541081070899963
0096.jpg,4032,3024,0.1330980509519577,0.5496941208839417,4.129970251120385,0.26925843954086304
0097.jpg,4032,3024,0.09723137319087982,0.5002902150154114,5.14531527512215,0.3398393988609314
0098.jpg,4032,3024,0.08990588784217834,0.5149412155151367,5.727505732587042,0.34683021903038025
0099.jpg,4032,3024,0.13399216532707214,0.44657257199287415,3.3328085869365447,0.21860361099243164
0100.jpg,4032,3024,0.01100000087171793,0.38495689630508423,34.99298843751193,0.292961061000824
0101.jpg,4032,3024,0.1731647104024887,0.5394215881824493,3.1150658345042475,0.25656864047050476
0102.jpg,4032,3024,0.07338039577007294,0.6465647220611572,8.811030579018306,0.46672677993774414
0103.jpg,4032,3024,0.020501961931586266,0.5142313838005066,25.080882728865394,0.3602927029132843
0104.jpg,4032,3024,0.2890353202819824,0.7169451117515564,2.480470658677454,0.35322627425193787
0105.jpg,4032,3024,0.05827843025326729,0.5613569021224976,9.632178964052699,0.34995898604393005
0106.jpg,4032,3024,0.28161177039146423,0.6283333897590637,2.2311999164158247,0.2615341544151306
0107.jpg,4032,3024,0.2001529484987259,0.588533341884613,2.9404083521657802,0.35473814606666565
0108.jpg,4032,3024,0.23005883395671844,0.5731098651885986,2.4911383066390416,0.29319456219673157
0109.jpg,4032,3024,0.01265882421284914,0.5915020108222961,46.72284550538607,0.44282713532447815
0110.jpg,4032,3024,0.0947333350777626,0.5332667231559753,5.629086040644535,0.32106727361679077
0111.jpg,4032,3024,0.15270589292049408,0.5053725838661194,3.3094353123224054,0.27393999695777893
0112.jpg,4032,3024,0.1730235368013382,0.6085843443870544,3.517335492629087,0.32810521125793457
0113.jpg,4032,3024,0.19305098056793213,0.6592353582382202,3.4148127167555513,0.3891388773918152
0114.jpg,4032,3024,0.12576863169670105,0.5174196362495422,4.114034757590169,0.2655937373638153
0115.jpg,4032,3024,0.10182353854179382,0.5500353574752808,5.401805550530619,0.37946704030036926
0116.jpg,4032,3024,0.24010981619358063,0.6869843602180481,2.8611179250841876,0.3580010235309601
0117.jpg,4032,3024,0.054901961237192154,0.6043098568916321,11.006890034234841,0.41975077986717224
0118.jpg,4032,3024,0.09298823773860931,0.4788196384906769,5.149204898707,0.22091630101203918
0119.jpg,4032,3024,0.2351960986852646,0.5887804627418518,2.503353425841982,0.26779961585998535
0120.jpg,4032,3024,0.11750588566064835,0.46590590476989746,3.9649327964950407,0.2764113247394562
0121.jpg,4032,3024,0.16064314544200897,0.5169607996940613,3.218055648848278,0.3202289938926697
0122.jpg,4032,3024,0.1880509853363037,0.5492196083068848,2.9205786225797263,0.28440600633621216
0123.jpg,4032,3024,0.07579215615987778,0.5992470979690552,7.906361581050981,0.32553666830062866
0124.jpg,4032,3024,0.21201568841934204,0.5530275106430054,2.6084197181175917,0.29325956106185913
0125.jpg,4032,3024,0.010635294951498508,0.4979333281517029,46.814640852127816,0.46116122603416443
0126.jpg,4032,3024,0.004815686494112015,0.6073294281959534,126.0888432199942,0.5214446783065796
0127.jpg,4032,3024,0.004815686494112015,0.6628156900405884,137.6084349377575,0.5468962788581848
0128.jpg,4032,3024,0.008737255819141865,0.380047082901001,43.492441829006026,0.36197003722190857
0129.jpg,4032,3024,0.01265882421284914,0.2934510111808777,23.179785615272394,0.29004353284835815
0130.jpg,4032,3024,0.003643137402832508,0.3517255187034607,96.51845685897337,0.38204875588417053
0131.jpg,4032,3024,0.07399608194828033,0.6819646954536438,9.216116061580621,0.49483928084373474
