H,W,l_mean,l_std,l_p01,l_p05,l_p10,l_p50,l_p90,l_p95,l_p99,dark_frac_005,dark_frac_010,clip_frac_098,r_mean,g_mean,b_mean,r_std,g_std,b_std,rg,bg,sharp_lap_var,file
4032,3024,0.14977814257144928,0.26762157678604126,0.0027921569999307394,0.004815686494112015,0.004815686494112015,0.008737255819141865,0.6743372678756714,0.7407255172729492,0.8004941344261169,0.7556777099342824,0.7700759171338288,7.545456454186613e-06,0.1457664966583252,0.13972681760787964,0.14934059977531433,0.2479645162820816,0.24071736633777618,0.2563229203224182,1.0432246001822973,1.0688036379013233,0.019347548484802246,0001.jpg
4032,3024,0.18437667191028595,0.24250724911689758,0.0,0.003921568859368563,0.0076078432612121105,0.042007844895124435,0.5684471130371094,0.6242353320121765,0.8033764958381653,0.5436922116454607,0.6617702395387167,1.6157118711682203e-05,0.1716061681509018,0.1720343381166458,0.18549463152885437,0.20795899629592896,0.2134130299091339,0.26101887226104736,0.9975111510784272,1.0782414448075897,0.012393118813633919,0002.jpg
4032,3024,0.1828366219997406,0.28576087951660156,0.0027921569999307394,0.004815686494112015,0.0076078432612121105,0.016901960596442223,0.7255411744117737,0.762313723564148,0.8329019546508789,0.6182238520408163,0.7243073927101705,5.5934796758209455e-05,0.1745418906211853,0.1720237284898758,0.17691540718078613,0.25700855255126953,0.2513607442378998,0.2767943739891052,1.0146383729444903,1.0284359041508282,0.0187300443649292,0003.jpg
4032,3024,0.23244789242744446,0.2589107155799866,0.0011725490912795067,0.003921568859368563,0.0067137256264686584,0.10874117910861969,0.6438392400741577,0.670396089553833,0.7300549149513245,0.4293314692775258,0.4925818321155623,6.479250650877635e-06,0.23627428710460663,0.22500832378864288,0.2243056297302246,0.26813754439353943,0.2585006654262543,0.26661282777786255,1.0500688732638748,0.9968770447082524,0.014540344476699829,0004.jpg
4032,3024,0.2522563636302948,0.2510848045349121,0.0027921569999307394,0.0076078432612121105,0.011529413051903248,0.13259217143058777,0.7282509803771973,0.7690706253051758,0.8304588794708252,0.20743001097043756,0.3744124385865457,0.00013959094440245233,0.27814987301826477,0.23110529780387878,0.20292852818965912,0.2621234953403473,0.24119116365909576,0.21473917365074158,1.2035624976966612,0.8780787460922809,0.011625986546278,0005.jpg
4032,3024,0.31215912103652954,0.2512480616569519,0.0,0.0,0.003921568859368563,0.3101607859134674,0.6941725611686707,0.7857568860054016,0.8825490474700928,0.1951966116307634,0.2971776384164777,3.53488231712438e-05,0.3391259014606476,0.30223679542541504,0.2663981020450592,0.2624433636665344,0.24274678528308868,0.24404682219028473,1.1220532527485825,0.8814221982730153,0.006867688614875078,0006.jpg
4032,3024,0.3004598319530487,0.2755882143974304,0.0,0.0,0.0011725490912795067,0.2631019651889801,0.6984274983406067,0.7751882672309875,0.8708666563034058,0.330095348324515,0.38898673377530024,0.0006959043262366675,0.32363656163215637,0.2925281822681427,0.2573811113834381,0.29331737756729126,0.26471829414367676,0.25240400433540344,1.106342824065664,0.8798510609704315,0.022996293380856514,0007.jpg
4032,3024,0.18598470091819763,0.18166252970695496,0.0,0.0,0.0027921569999307394,0.12875686585903168,0.5324901938438416,0.5457647442817688,0.5687882900238037,0.3015711444685899,0.4320681735271269,2.460474930713026e-07,0.20727649331092834,0.17640969157218933,0.16410785913467407,0.17726880311965942,0.17661680281162262,0.20736421644687653,1.1749712642904524,0.930265947444114,0.0033843752462416887,0008.jpg
4032,3024,0.23107434809207916,0.17543578147888184,0.000894117692951113,0.011529413051903248,0.0311372559517622,0.22686275839805603,0.41507452726364136,0.5455058813095093,0.8823098540306091,0.16543470686885867,0.26908738032249935,0.00020102080183925422,0.25754305720329285,0.2220882922410965,0.18791554868221283,0.1854037046432495,0.17003962397575378,0.1641414314508438,1.1596419377288447,0.846130611638015,0.0031999084167182446,0009.jpg
4032,3024,0.2886088192462921,0.29033446311950684,0.0011725490912795067,0.0027921569999307394,0.005137255415320396,0.11389803886413574,0.7218509912490845,0.7575922012329102,0.803266704082489,0.3740090027137398,0.4853911761463845,3.280633240950701e-07,0.2984350919723511,0.27093058824539185,0.24883247911930084,0.3028467893600464,0.28467023372650146,0.2788012623786926,1.1015182611414343,0.9184365718696633,0.0019038895843550563,0010.jpg
4032,3024,0.09290219098329544,0.18628805875778198,0.0035176470410078764,0.004815686494112015,0.004815686494112015,0.01265882421284914,0.3379215598106384,0.38913726806640625,0.9049568772315979,0.7101877932886117,0.7773166847757622,3.0427873309817754e-05,0.09272760152816772,0.08586331456899643,0.07601076364517212,0.18069793283939362,0.17400141060352325,0.15889573097229004,1.079943419960052,0.8852544159552188,0.0008614416001364589,0011.jpg
4032,3024,0.2768905758857727,0.29202646017074585,0.0,0.0,0.0,0.1557764858007431,0.7135843634605408,0.7338078022003174,0.7972510457038879,0.39827797920865876,0.46073820153061223,0.000408192791005291,0.3047034740447998,0.2617843747138977,0.23077097535133362,0.29908421635627747,0.2815288305282593,0.27396389842033386,1.1639476589469824,0.881531199378658,0.0001420329645043239,0012.jpg
4032,3024,0.26081135869026184,0.2654827833175659,0.0,0.0027921569999307394,0.0067137256264686584,0.1221686378121376,0.7017804384231567,0.7298862934112549,0.7642470598220825,0.2610848496420173,0.43026054461136304,1.6403166204753505e-07,0.26597169041633606,0.23703449964523315,0.2269064486026764,0.27369067072868347,0.2599535286426544,0.25883010029792786,1.122079565357985,0.9572720075359377,0.000641953491140157,0013.jpg
4032,3024,0.19416125118732452,0.2042868733406067,0.000894117692951113,0.004815686494112015,0.0067137256264686584,0.09539999812841415,0.5183490514755249,0.5681137442588806,0.6116588711738586,0.31737772751847654,0.5156046600739062,0.0,0.1916274130344391,0.17776495218276978,0.17615005373954773,0.2064497023820877,0.19802816212177277,0.20736421644687653,1.0779815295418138,0.9909155919713935,0.0007167737348936498,0014.jpg
